date,stock_value,cash,total_value,daily_return,benchmark_return,week,month
2024-12-31,0.0,-899939.2,-899939.2,,,2024-12-30/2025-01-05,2024-12
2025-01-01,0.0,-899939.2,-899939.2,0.0,,2024-12-30/2025-01-05,2025-01
2025-01-02,998052.7430419922,-899939.2,98113.54304199223,-1.1090224128941069,-0.0022238866412221947,2024-12-30/2025-01-05,2025-01
2025-01-03,993359.9940032959,-899939.2,93420.79400329595,-0.04782977857285009,0.01259602672149196,2024-12-30/2025-01-05,2025-01
2025-01-04,993359.9940032959,-899939.2,93420.79400329595,0.0,,2024-12-30/2025-01-05,2025-01
2025-01-05,993359.9940032959,-899939.2,93420.79400329595,0.0,,2024-12-30/2025-01-05,2025-01
2025-01-06,991622.61378479,-899939.2,91683.41378479009,-0.018597360866410173,0.005538045085450305,2025-01-06/2025-01-12,2025-01
2025-01-07,989574.207862854,-899939.2,89635.00786285405,-0.02234216460072369,-0.01110391288210788,2025-01-06/2025-01-12,2025-01
2025-01-08,981605.1841430664,-899939.2,81665.98414306645,-0.08890526045337765,0.001560360190925314,2025-01-06/2025-01-12,2025-01
2025-01-09,983332.10987854,-899939.2,83392.90987854009,0.021146206141939405,,2025-01-06/2025-01-12,2025-01
2025-01-10,987385.6021347046,-899939.2,87446.40213470464,0.04860715691619788,-0.01541164380306681,2025-01-06/2025-01-12,2025-01
2025-01-11,987385.6021347046,-899939.2,87446.40213470464,0.0,,2025-01-06/2025-01-12,2025-01
2025-01-12,987385.6021347046,-899939.2,87446.40213470464,0.0,,2025-01-06/2025-01-12,2025-01
2025-01-13,979138.8684463501,-899939.2,79199.66844635014,-0.0943061519632451,0.0015754440882007614,2025-01-13/2025-01-19,2025-01
2025-01-14,971763.7910614014,-899939.2,71824.59106140141,-0.09312005377831356,0.0011462798112440442,2025-01-13/2025-01-19,2025-01
2025-01-15,976569.0557785034,-899939.2,76629.85577850346,0.06690277864574434,0.018312792279639112,2025-01-13/2025-01-19,2025-01
2025-01-16,970319.4534072876,-899939.2,70380.25340728764,-0.08155571099181147,-0.0021126894641922966,2025-01-13/2025-01-19,2025-01
2025-01-17,963857.5974807739,-899939.2,63918.39748077397,-0.09181347911777438,0.009991058969353706,2025-01-13/2025-01-19,2025-01
2025-01-18,963857.5974807739,-899939.2,63918.39748077397,0.0,,2025-01-13/2025-01-19,2025-01
2025-01-19,963857.5974807739,-899939.2,63918.39748077397,0.0,,2025-01-13/2025-01-19,2025-01
2025-01-20,961993.7244720459,-899939.2,62054.524472045945,-0.02916019615930865,,2025-01-20/2025-01-26,2025-01
2025-01-21,967350.5060272217,-899939.2,67411.30602722173,0.08632378703649368,0.008768227105582893,2025-01-20/2025-01-26,2025-01
2025-01-22,965099.2752151489,-899939.2,65160.07521514897,-0.03339544869763644,0.006137941522227575,2025-01-20/2025-01-26,2025-01
2025-01-23,970702.4694442749,-899939.2,70763.26944427495,0.08599121794480835,0.00531348622041139,2025-01-20/2025-01-26,2025-01
2025-01-24,970697.5249023438,-899939.2,70758.3249023438,-6.987441323702548e-05,-0.002855132319398823,2025-01-20/2025-01-26,2025-01
2025-01-25,970697.5249023438,-899939.2,70758.3249023438,0.0,,2025-01-20/2025-01-26,2025-01
2025-01-26,970697.5249023438,-899939.2,70758.3249023438,0.0,,2025-01-20/2025-01-26,2025-01
2025-01-27,977374.4390716553,-899939.2,77435.23907165532,0.09436224187792153,-0.014580715690809543,2025-01-27/2025-02-02,2025-01
2025-01-28,977681.0965042114,-899939.2,77741.89650421147,0.0039601793218766446,0.009217869449967608,2025-01-27/2025-02-02,2025-01
2025-01-29,982011.6981124878,-899939.2,82072.49811248784,0.055704861895693014,-0.004678895760321544,2025-01-27/2025-02-02,2025-01
2025-01-30,988829.3615341187,-899939.2,88890.1615341187,0.08306879379115073,0.005275414405311762,2025-01-27/2025-02-02,2025-01
2025-01-31,985149.3916091919,-899939.2,85210.19160919194,-0.0413990689342405,-0.005046825754019935,2025-01-27/2025-02-02,2025-01
2025-02-01,985149.3916091919,-899939.2,85210.19160919194,0.0,,2025-01-27/2025-02-02,2025-02
2025-02-02,985149.3916091919,-899939.2,85210.19160919194,0.0,,2025-01-27/2025-02-02,2025-02
2025-02-03,969696.4858093262,-899939.2,69757.28580932622,-0.1813504406930445,-0.007608597684666707,2025-02-03/2025-02-09,2025-02
2025-02-04,972747.4430389404,-899939.2,72808.24303894048,0.04373675371994423,0.007224881828679752,2025-02-03/2025-02-09,2025-02
2025-02-05,959030.1587677002,-899939.2,59090.95876770024,-0.18840290190636433,0.003908672930614365,2025-02-03/2025-02-09,2025-02
2025-02-06,962642.0343399048,-899939.2,62702.83433990483,0.06112399675902491,0.003644298722618622,2025-02-03/2025-02-09,2025-02
2025-02-07,963736.1884689331,-899939.2,63796.98846893315,0.017449835251418522,-0.009464770111542897,2025-02-03/2025-02-09,2025-02
2025-02-08,963736.1884689331,-899939.2,63796.98846893315,0.0,,2025-02-03/2025-02-09,2025-02
2025-02-09,963736.1884689331,-899939.2,63796.98846893315,0.0,,2025-02-03/2025-02-09,2025-02
2025-02-10,963546.8557891846,-899939.2,63607.65578918462,-0.0029677369464036207,0.006712541085862833,2025-02-10/2025-02-16,2025-02
2025-02-11,965931.33228302,-899939.2,65992.13228302007,0.03748725627836902,0.00033958278885926063,2025-02-10/2025-02-16,2025-02
2025-02-12,960203.2385635376,-899939.2,60264.038563537644,-0.08679964597774137,-0.0027238667143857365,2025-02-10/2025-02-16,2025-02
2025-02-13,963144.8671569824,-899939.2,63205.66715698247,0.04881233756585046,0.010426292122230674,2025-02-10/2025-02-16,2025-02
2025-02-14,962291.2447052002,-899939.2,62352.04470520024,-0.013505473325075457,-7.194380749464546e-05,2025-02-10/2025-02-16,2025-02
2025-02-15,962291.2447052002,-899939.2,62352.04470520024,0.0,,2025-02-10/2025-02-16,2025-02
2025-02-16,962291.2447052002,-899939.2,62352.04470520024,0.0,,2025-02-10/2025-02-16,2025-02
2025-02-17,969582.4756393433,-899939.2,69643.27563934331,0.11693651697576124,,2025-02-17/2025-02-23,2025-02
2025-02-18,976425.2776794434,-899939.2,76486.0776794434,0.09825502860515112,0.0024449877750611915,2025-02-17/2025-02-23,2025-02
2025-02-19,977076.6475601196,-899939.2,77137.44756011968,0.008516188833818772,0.0023769693899173827,2025-02-17/2025-02-23,2025-02
2025-02-20,974857.0716552734,-899939.2,74917.87165527348,-0.028774298023230394,-0.0043341850761716705,2025-02-17/2025-02-23,2025-02
2025-02-21,983605.2344360352,-899939.2,83666.0344360352,0.11677003881017134,-0.01706412670256352,2025-02-17/2025-02-23,2025-02
2025-02-22,983605.2344360352,-899939.2,83666.0344360352,0.0,,2025-02-17/2025-02-23,2025-02
2025-02-23,983605.2344360352,-899939.2,83666.0344360352,0.0,,2025-02-17/2025-02-23,2025-02
2025-02-24,984154.5762863159,-899939.2,84215.37628631596,0.006565888463385239,-0.00496910650440241,2025-02-24/2025-03-02,2025-02
2025-02-25,994892.0304260254,-899939.2,94952.83042602544,0.12749992475488336,-0.004679730915472358,2025-02-24/2025-03-02,2025-02
2025-02-26,997095.923576355,-899939.2,97156.72357635503,0.02321039973681005,0.00013602428004699796,2025-02-24/2025-03-02,2025-02
2025-02-27,993557.6221160889,-899939.2,93618.42211608891,-0.03641849302879563,-0.015864553655509872,2025-02-24/2025-03-02,2025-02
2025-02-28,994396.2124023438,-899939.2,94457.0124023438,0.008957534930625233,0.01585414463498891,2025-02-24/2025-03-02,2025-02
2025-03-01,994396.2124023438,-899939.2,94457.0124023438,0.0,,2025-02-24/2025-03-02,2025-03
2025-03-02,994396.2124023438,-899939.2,94457.0124023438,0.0,,2025-02-24/2025-03-02,2025-03
2025-03-03,995817.2025680542,-899939.2,95878.00256805425,0.015043776312315238,-0.0175967394669998,2025-03-03/2025-03-09,2025-03
2025-03-04,972924.8416290283,-899939.2,72985.64162902837,-0.23876551790674683,-0.012234826602200433,2025-03-03/2025-03-09,2025-03
2025-03-05,993576.8348312378,-899939.2,93637.63483123784,0.2829596718102374,0.011159277893187936,2025-03-03/2025-03-09,2025-03
2025-03-06,985537.0067062378,-899939.2,85597.80670623784,-0.0858610764730453,-0.017819007085749905,2025-03-03/2025-03-09,2025-03
2025-03-07,988506.843132019,-899939.2,88567.64313201909,0.03469523975039923,0.00552061780274804,2025-03-03/2025-03-09,2025-03
2025-03-08,988506.843132019,-899939.2,88567.64313201909,0.0,,2025-03-03/2025-03-09,2025-03
2025-03-09,988506.843132019,-899939.2,88567.64313201909,0.0,,2025-03-03/2025-03-09,2025-03
2025-03-10,969399.8323974609,-899939.2,69460.63239746098,-0.2157335349443268,-0.0269730913054258,2025-03-10/2025-03-16,2025-03
2025-03-11,957175.6592636108,-899939.2,57236.45926361089,-0.17598706939352504,-0.007567865323653167,2025-03-10/2025-03-16,2025-03
2025-03-12,963985.8647460938,-899939.2,64046.6647460938,0.11898369623315652,0.004886869929446425,2025-03-10/2025-03-16,2025-03
2025-03-13,968420.7320556641,-899939.2,68481.53205566411,0.0692443131449838,-0.013890984206835322,2025-03-10/2025-03-16,2025-03
2025-03-14,978601.6762542725,-899939.2,78662.47625427251,0.1486670039790141,0.021265869083087807,2025-03-10/2025-03-16,2025-03
2025-03-15,978601.6762542725,-899939.2,78662.47625427251,0.0,,2025-03-10/2025-03-16,2025-03
2025-03-16,978601.6762542725,-899939.2,78662.47625427251,0.0,,2025-03-10/2025-03-16,2025-03
2025-03-17,991259.4589157104,-899939.2,91320.2589157105,0.16091258836706768,0.006416130719105961,2025-03-17/2025-03-23,2025-03
2025-03-18,993326.9976577759,-899939.2,93387.79765777593,0.02264052650106696,-0.010653512117636543,2025-03-17/2025-03-23,2025-03
2025-03-19,1000386.3877868652,-899939.2,100447.18778686528,0.07559221125396731,0.010798495567894584,2025-03-17/2025-03-23,2025-03
2025-03-20,997247.9221191406,-899939.2,97308.72211914067,-0.031244933152175358,-0.0021848931523151816,2025-03-17/2025-03-23,2025-03
2025-03-21,980931.5284881592,-899939.2,80992.32848815923,-0.16767657899159694,0.0008246534476661349,2025-03-17/2025-03-23,2025-03
2025-03-22,980931.5284881592,-899939.2,80992.32848815923,0.0,,2025-03-17/2025-03-23,2025-03
2025-03-23,980931.5284881592,-899939.2,80992.32848815923,0.0,,2025-03-17/2025-03-23,2025-03
2025-03-24,980447.2064056396,-899939.2,80508.0064056397,-0.005979851321231466,0.017646000146633645,2025-03-24/2025-03-30,2025-03
2025-03-25,978311.6468505859,-899939.2,78372.44685058598,-0.026526051884749102,0.0015743334544251475,2025-03-24/2025-03-30,2025-03
2025-03-26,973309.4280776978,-899939.2,73370.2280776978,-0.06382624217953436,-0.011156934922627149,2025-03-24/2025-03-30,2025-03
2025-03-27,960776.40965271,-899939.2,60837.20965271001,-0.17081885600403945,-0.003306980860763864,2025-03-24/2025-03-30,2025-03
2025-03-28,957509.3479232788,-899939.2,57570.147923278855,-0.0537017024298323,-0.01973722070834405,2025-03-24/2025-03-30,2025-03
2025-03-29,957509.3479232788,-899939.2,57570.147923278855,0.0,,2025-03-24/2025-03-30,2025-03
2025-03-30,957509.3479232788,-899939.2,57570.147923278855,0.0,,2025-03-24/2025-03-30,2025-03
